,Method,Feature,Feature Coefficient
0,LogisticRegression,Month__4,1.3056234749139868
1,LogisticRegression,Month__3,0.8713200936665887
2,LogisticRegression,DayofMonth__31,0.6291132175727076
3,LogisticRegression,Airline__Allegiant Air,0.5765560034447489
4,LogisticRegression,Year__2020,0.4663394520952301
5,LogisticRegression,OriginStateName__New Jersey,0.4198584240528566
6,LogisticRegression,"OriginCityName__Newark, NJ",0.39975756066666374
7,LogisticRegression,DestStateName__New Jersey,0.3878662623723568
8,LogisticRegression,"DestCityName__Newark, NJ",0.37076655782066453
9,LogisticRegression,DayofMonth__30,0.3393974389789586
10,LogisticRegression,"DestCityName__Dallas/Fort Worth, TX",0.32105913021035354
11,LogisticRegression,Quarter__1,0.30230062594247287
12,LogisticRegression,DestStateName__New York,0.29664148167255444
13,LogisticRegression,DayofMonth__26,0.2865893084326572
14,LogisticRegression,Airline__Mesa Airlines Inc.,0.27038938601891194
15,LogisticRegression,"Airline__Commutair Aka Champlain Enterprises, Inc.",0.26305797592458574
16,LogisticRegression,OriginStateName__New York,0.2589440054060197
17,LogisticRegression,"DestCityName__San Francisco, CA",0.2541049625576948
18,LogisticRegression,"OriginCityName__New York, NY",0.24765751228289437
19,LogisticRegression,Airline__Capital Cargo International,0.22131680599411233
20,LogisticRegression,"DestCityName__New York, NY",0.21898844620101507
21,LogisticRegression,Month__8,0.20929477084892728
22,LogisticRegression,DayofMonth__15,0.20662304348476868
23,LogisticRegression,DestStateName__Illinois,0.2062285366464054
24,LogisticRegression,Airline__ExpressJet Airlines Inc.,0.1779909802395045
25,LogisticRegression,"DestCityName__Chicago, IL",0.16813158380309828
26,LogisticRegression,Airline__Comair Inc.,0.16279937520703017
27,LogisticRegression,Quarter__2,0.16173873014269172
28,LogisticRegression,Airline__Trans States Airlines,0.15975804427778428
29,LogisticRegression,OriginStateName__Illinois,0.15966931039345061
30,LogisticRegression,OriginStateName__Louisiana,0.15946643778872038
31,LogisticRegression,DayofMonth__27,0.15873196130007577
32,LogisticRegression,"OriginCityName__New Orleans, LA",0.15732409306175757
33,LogisticRegression,DayofMonth__2,0.1526111567575307
34,LogisticRegression,Airline__Horizon Air,0.1522237436450434
35,LogisticRegression,OriginStateName__Alaska,0.1505128982323391
36,LogisticRegression,DayofMonth__11,0.14914655952438774
37,LogisticRegression,DayofMonth__29,0.1458801790702253
38,LogisticRegression,DestStateName__North Carolina,0.14268848441260465
39,LogisticRegression,DayofMonth__1,0.1411232872155422
40,LogisticRegression,Month__12,0.13688040016301528
41,LogisticRegression,"OriginCityName__Burbank, CA",0.1363192777061941
42,LogisticRegression,"DestCityName__New Orleans, LA",0.13281957409010534
43,LogisticRegression,OriginStateName__Massachusetts,0.1291804680923321
44,LogisticRegression,"OriginCityName__Chicago, IL",0.12270695767859027
